VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-1,CLUST-9,SITE_491,Havelock North Exchange,SITE_491_CELL-B,-39.66844,176.876248,200,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_491,Havelock North Exchange,SITE_491_CELL-B,-39.66844,176.876248,200,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-C,-36.916861,174.812573,250,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-D,-36.916861,174.812573,263,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_491,Havelock North Exchange,SITE_491_CELL-C,-39.66844,176.876248,320,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-9,SITE_491,Havelock North Exchange,SITE_491_CELL-C,-39.66844,176.876248,320,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-D,-36.916861,174.812573,263,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-D,-36.916861,174.812573,263,TDD,L2300 - R,ACTIVE,NO,NO
VEND-3,CLUST-27,SITE_492,Hawera,SITE_492_CELL-A,-39.590139,174.285092,15,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-3,CLUST-27,SITE_492,Hawera,SITE_492_CELL-A,-39.590139,174.285092,15,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-F,-36.916861,174.812573,277,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-F,-36.916861,174.812573,277,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-F,-36.916861,174.812573,277,TDD,L2300 - R,ACTIVE,NO,NO
VEND-3,CLUST-27,SITE_492,Hawera,SITE_492_CELL-B,-39.590139,174.285092,140,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-3,CLUST-27,SITE_492,Hawera,SITE_492_CELL-B,-39.590139,174.285092,140,TDD,L2300 - R,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-G,-36.916861,174.812573,290,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_484,Mt Smart Stadium,SITE_484_CELL-I,-36.916861,174.812573,304,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-30,SITE_493,Hargood Ferry,SITE_493_CELL-A,-43.546816,172.677849,90,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-27,SITE_492,Hawera,SITE_492_CELL-C,-39.590139,174.285092,260,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-3,CLUST-27,SITE_492,Hawera,SITE_492_CELL-C,-39.590139,174.285092,260,TDD,L2300 - R,ACTIVE,NO,NO
VEND-3,CLUST-30,SITE_493,Hargood Ferry,SITE_493_CELL-B,-43.546816,172.677849,210,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-30,SITE_493,Hargood Ferry,SITE_493_CELL-A,-43.546816,172.677849,90,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-30,SITE_493,Hargood Ferry,SITE_493_CELL-B,-43.546816,172.677849,210,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-30,SITE_493,Hargood Ferry,SITE_493_CELL-C,-43.546816,172.677849,330,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-30,SITE_493,Hargood Ferry,SITE_493_CELL-C,-43.546816,172.677849,330,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-33,SITE_494,Harris Road,SITE_494_CELL-A,-36.931525,174.898958,90,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-33,SITE_494,Harris Road,SITE_494_CELL-B,-36.931525,174.898958,210,FDD,L700,ACTIVE,NO,NO
