VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ2_M,-37.644935,175.979488,220,FDD,L2100,ACTIVE,NO,NO
NOKIA,WN Corridor,SITE_34,Aotea Quay Relocation,WAQRU9_L,-41.27406,174.785694,41,FDD,L1800,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ1_L,-37.644935,175.979488,120,FDD,L1800,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ3_M,-37.644935,175.979488,300,FDD,L2100,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ1_J,-37.644935,175.979488,120,FDD,L700,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ2_J,-37.644935,175.979488,220,FDD,L700,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ3_J,-37.644935,175.979488,300,FDD,L700,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ2_L,-37.644935,175.979488,220,FDD,L1800,ACTIVE,NO,NO
NOKIA,Bay of Plenty/Tauranga,SITE_37,Apata,MPTAJ3_L,-37.644935,175.979488,300,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 1,SITE_38,Apiti,CAPTJ1_J,-39.964295,175.901933,10,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 1,SITE_38,Apiti,CAPTJ2_J,-39.964295,175.901933,130,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 1,SITE_38,Apiti,CAPTJ3_J,-39.964295,175.901933,260,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 1,SITE_38,Apiti,CAPTJ1_L,-39.964295,175.901933,10,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 1,SITE_38,Apiti,CAPTJ2_L,-39.964295,175.901933,130,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 1,SITE_38,Apiti,CAPTJ3_L,-39.964295,175.901933,260,FDD,L1800,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF1_M,-41.286777,174.754421,105,FDD,L2100,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF2_M,-41.286777,174.754421,230,FDD,L2100,ACTIVE,NO,NO
NOKIA,Marlborough 1,SITE_40,Appleby,SAPBJ1_L,-41.309157,173.146517,150,FDD,L1800,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF3_M,-41.286777,174.754421,340,FDD,L2100,ACTIVE,NO,NO
