VENDOR,CLUSTER_AREA,ENODEBID,ECI,SITE_NAME,LATITUDE,LONGITUDE,AZIMUTH,HEIGHT,ANTENNA,LOCAL_CELLID,PCI,RSI,M_TILT,CELLNAME,ULEARFCN,DLEARFCN,UL BW,20MHz,TECH,CELLRADIUS,PMAX,RSPOWER (dBm),TXRX_MODE,TAC,CARRIER,ACTSTATUS,BLKSTATUS
VEND-2,CLUST-6& Gulf Islands,618155,158247814,AMWDF,-36.913395,174.928714,330,9.9,2100_Huawei_APE4516R1v06_E02,134,395,288,0,AMWDF3_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,18131,L2100,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300597,76952953,CMRBJ,-41.225292,175.448333,230,20,0700_Huawei_APE4517R0v06_E04,121,202,11,0,CMRBJ2_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300597,76952963,CMRBJ,-41.225292,175.448333,359,20,0700_Huawei_APE4517R0v06_E04,131,203,180,0,CMRBJ3_J,27310,9310,20MHz,20MHz,FDD,38800,47,19.2,2T2R,38141,L700,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300597,76952945,CMRBJ,-41.225292,175.448333,100,20,1800_Huawei_APE4517R0v06_E03,113,201,70,0,CMRBJ1_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Otago 2,301533,77192562,SMEAL,-44.703709,169.127913,50,10,2100_Kathrein_80010865_E03,114,387,169,0,SMEAJ1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.5,4T4R,28171,L2100,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300597,76952955,CMRBJ,-41.225292,175.448333,230,20,1800_Huawei_APE4517R0v06_E03,123,202,192,0,CMRBJ2_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300597,76952965,CMRBJ,-41.225292,175.448333,359,20,1800_Huawei_APE4517R0v06_E03,133,203,554,0,CMRBJ3_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,38141,L1800,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952431,CMBTJ,-41.217475,175.457622,100,19,0700_Huawei_ASI4518R84v06_E03,111,171,278,0,CMBTJ1_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
NOKIA,Otago 2,301533,77192572,SMEAL,-44.703709,169.127913,160,10,2100_Kathrein_80010865_E03,124,388,177,0,SMEAJ2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.5,4T4R,28171,L2100,ACTIVE,UNBLOCKED
NOKIA,Wairarapa 2,300595,76952441,CMBTJ,-41.217475,175.457622,220,19,0700_Huawei_ASI4518R84v06_E04,121,172,300,0,CMBTJ2_J,27310,9310,20MHz,20MHz,FDD,38800,47.79999924,20,2T2R,38141,L700,ACTIVE,UNBLOCKED
